2026-04-30 21:21:02,532 - Suspicious traffic detected! | pps: 1.00 | avg_size: 54.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:21:06,023 - Suspicious traffic detected! | pps: 2.00 | avg_size: 54.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:21:54,430 - Suspicious traffic detected! | pps: 57.00 | avg_size: 1134.51 | tcp_ratio: 0.86 | udp_ratio: 0.14
2026-04-30 21:22:16,370 - Suspicious traffic detected! | pps: 57.00 | avg_size: 88.70 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:23:06,872 - Suspicious traffic detected! | pps: 46.00 | avg_size: 87.26 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:23:15,089 - Suspicious traffic detected! | pps: 43.00 | avg_size: 93.49 | tcp_ratio: 0.98 | udp_ratio: 0.02
2026-04-30 21:23:18,551 - Suspicious traffic detected! | pps: 1.00 | avg_size: 54.00 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:23:21,728 - Suspicious traffic detected! | pps: 55.00 | avg_size: 86.38 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:23:25,131 - Suspicious traffic detected! | pps: 111.00 | avg_size: 802.94 | tcp_ratio: 0.96 | udp_ratio: 0.04
2026-04-30 21:23:31,847 - Suspicious traffic detected! | pps: 119.00 | avg_size: 811.76 | tcp_ratio: 0.96 | udp_ratio: 0.04
2026-04-30 21:23:39,342 - Suspicious traffic detected! | pps: 36.00 | avg_size: 117.56 | tcp_ratio: 0.94 | udp_ratio: 0.06
2026-04-30 21:23:41,291 - Suspicious traffic detected! | pps: 118.00 | avg_size: 869.20 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:23:42,292 - Suspicious traffic detected! | pps: 86.00 | avg_size: 1005.76 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:23:43,307 - Suspicious traffic detected! | pps: 56.00 | avg_size: 86.64 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:23:46,336 - Suspicious traffic detected! | pps: 34.00 | avg_size: 90.38 | tcp_ratio: 0.94 | udp_ratio: 0.06
2026-04-30 21:23:53,241 - Suspicious traffic detected! | pps: 56.00 | avg_size: 1493.23 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:23:54,663 - Suspicious traffic detected! | pps: 41.00 | avg_size: 68.20 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:23:57,996 - Suspicious traffic detected! | pps: 65.00 | avg_size: 1470.95 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:24:00,161 - Suspicious traffic detected! | pps: 72.00 | avg_size: 1191.60 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:24:11,133 - Suspicious traffic detected! | pps: 70.00 | avg_size: 1348.46 | tcp_ratio: 0.89 | udp_ratio: 0.11
2026-04-30 21:24:14,561 - Suspicious traffic detected! | pps: 58.00 | avg_size: 935.93 | tcp_ratio: 0.97 | udp_ratio: 0.03
2026-04-30 21:24:15,582 - Suspicious traffic detected! | pps: 56.00 | avg_size: 1672.48 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:24:16,601 - Suspicious traffic detected! | pps: 50.00 | avg_size: 76.24 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:24:22,021 - Suspicious traffic detected! | pps: 561.00 | avg_size: 964.76 | tcp_ratio: 0.95 | udp_ratio: 0.05
2026-04-30 21:24:24,080 - Suspicious traffic detected! | pps: 94.00 | avg_size: 1183.63 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:24:27,692 - Suspicious traffic detected! | pps: 81.00 | avg_size: 64.64 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:24:38,096 - Suspicious traffic detected! | pps: 68.00 | avg_size: 1236.63 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:25:20,593 - Suspicious traffic detected! | pps: 90.00 | avg_size: 1170.67 | tcp_ratio: 1.00 | udp_ratio: 0.00
2026-04-30 21:25:32,631 - Suspicious traffic detected! | pps: 110.00 | avg_size: 1151.32 | tcp_ratio: 1.00 | udp_ratio: 0.00
